,총대출채권_연체율,기업대출_연체율,기업대출_대기업대출_연체율,기업대출_중소기업대출_연체율,기기업대출_중소기업대출_(개인사업자)_연체율,고정이하여신비율,대손충당금적립비율(총여신대비),대손충당금적립비율(고정이하여신대비),업무용고정자산비율,유동성커버리지비율,순안정자금조달비율
2017년03월,0.36,0.48,0.8,0.42,0.24,0.78,0.74,95.75,14.74,109.67,
2017년06월,0.3,0.36,0.27,0.38,0.25,0.68,0.63,91.84,14.41,103.99,
2017년09월,0.28,0.34,0.28,0.34,0.24,0.66,0.61,92.73,13.72,95.54,
2017년12월,0.23,0.23,0.31,0.22,0.14,0.58,0.58,99.67,13.96,100.0,
2018년03월,0.27,0.31,0.3,0.31,0.18,0.58,0.69,117.63,13.58,104.34,122.1
2018년06월,0.25,0.25,0.3,0.24,0.16,0.54,0.65,119.55,13.11,101.79,121.5
2018년09월,0.26,0.26,0.04,0.3,0.21,0.48,0.59,121.99,13.04,98.02,120.12
2018년12월,0.24,0.23,0.02,0.26,0.2,0.48,0.58,122.04,13.42,102.2,121.66
2019년03월,0.28,0.27,0.04,0.31,0.24,0.47,0.56,119.84,13.29,102.49,118.91
2019년06월,0.28,0.25,0.02,0.29,0.21,0.45,0.52,114.96,13.12,102.76,118.15
2019년09월,0.3,0.28,0.07,0.31,0.22,0.41,0.48,117.8,12.74,102.12,120.37
2019년12월,0.25,0.21,0.0,0.24,0.17,0.37,0.48,129.83,12.94,105.81,121.3
2020년03월,0.25,0.2,0.01,0.24,0.18,0.36,0.46,126.73,12.56,102.87,113.86
2020년06월,0.22,0.19,0.04,0.22,0.16,0.33,0.45,134.46,11.92,96.48,112.39
2020년09월,0.2,0.19,0.11,0.2,0.14,0.32,0.45,140.39,11.9,89.4,113.5
2020년12월,0.17,0.13,0.0,0.15,0.1,0.28,0.46,165.2,11.43,92.53,115.92
2021년03월,0.17,0.16,0.0,0.17,0.12,0.29,0.45,156.74,11.03,92.3,114.52
2021년06월,0.15,0.14,0.0,0.15,0.1,0.26,0.45,172.75,10.6,92.61,116.06
2021년09월,0.14,0.14,0.08,0.14,0.11,0.23,0.43,182.27,10.18,89.0,114.83
2021년12월,0.12,0.11,0.07,0.11,0.08,0.2,0.46,225.3,10.25,92.55,114.17
2022년03월,0.13,0.11,0.06,0.12,0.07,0.2,0.46,231.17,10.09,97.51,110.82
2022년06월,0.13,0.11,0.07,0.11,0.08,0.19,0.48,254.55,9.85,92.09,109.84
2022년09월,0.15,0.13,0.06,0.14,0.1,0.19,0.49,252.17,9.6,92.69,109.37
