시도 코드,시도 명,구군 코드,구군 명,주소,도로명 주소,전화 번호,팩스 번호,나의 사이렌 오더 여부,위도,경도
01,서울,0101,강남구,서울특별시 강남구 역삼동 721-13 아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),1522-3232,02-568-3763,N,37.501087,127.043069
01,서울,0101,강남구,서울특별시 강남구 논현동 142-2 정일빌딩,서울특별시 강남구 강남대로 538 (논현동),1522-3232,02-3442-3673,N,37.510178,127.022223
01,서울,0101,강남구,서울특별시 강남구 논현동 18-4 성일빌딩,서울특별시 강남구 강남대로 584 (논현동),1522-3232,02-547-3859,N,37.5139309,127.0206057
01,서울,0101,강남구,서울특별시 강남구 역삼동 648-22 동찬빌딩,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232,02-568-3669,N,37.499517,127.031495
01,서울,0101,강남구,서울특별시 강남구 대치동 599 대원빌딩,서울특별시 강남구 남부순환로 2947 (대치동),1522-3232,02-568-3705,N,37.494668,127.062583
01,서울,0101,강남구,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232,02-517-3913,N,37.515,127.063196
01,서울,0101,강남구,서울특별시 강남구 신사동 592 윤성빌딩,서울특별시 강남구 논현로 834 (신사동),1522-3232,02-546-3894,N,37.5227934,127.0286009
01,서울,0101,강남구,서울특별시 강남구 삼성동 159 코엑스,서울특별시 강남구 영동대로 513 (삼성동),1522-3232,02-508-3898,N,37.51015,127.060275
01,서울,0101,강남구,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,서울특별시 강남구 테헤란로 518 (대치동),1522-3232,02-568-3649,N,37.50775,127.060651
01,서울,0101,강남구,서울특별시 강남구 신사동 621-1,서울특별시 강남구 언주로 861 (신사동),1522-3232,02-541-3622,N,37.5273669,127.033061
01,서울,0101,강남구,서울특별시 강남구 수서동 715 수서빌딩,서울특별시 강남구 광평로 281 (수서동),1522-3232,02-6181-3689,N,37.488008,127.10265
01,서울,0101,강남구,서울특별시 강남구 도곡동 956 LG전자 강남R&D센터,서울특별시 강남구 남부순환로 2621 (도곡동),1522-3232,02-571-3605,N,37.485192,127.036685
01,서울,0101,강남구,서울특별시 강남구 삼성동 141-28 동신빌딩,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232,02-2051-3563,N,37.505321,127.050409
