hovertext,lat,lon,marker_size
Afghanistan,33.85639928,66.08669022,2202.278933
United Arab Emirates,23.86863365,54.20671476,67119.13367
Armenia,40.21660761,45.00029001,13653.75048
Vietnam,16.65793775,106.2858408,8041.175445
Azerbaijan,40.22069055,47.55390956,14403.84733
Japan,37.66311081,138.0649621,41429.29139
Jordan,31.24549058,36.77945491,9906.050702
Saudi Arabia,24.12328984,44.51636377,46962.15034
South Korea,36.4275986,127.8213171,42661.15733
Cyprus,34.90706085,33.0395538,39544.70007
Cambodia,12.68472863,104.8760853,4388.800598
Kyrgyzstan,41.50689371,74.62040481,5253.097297
Pakistan,29.97346003,69.41399806,4690.48346
Indonesia,-2.221737937,117.4234076,11812.20119
Philippines,11.76379936,122.9026724,8908.174837
Israel,31.48491939,35.00385121,40161.9227
India,22.92500641,79.59370376,6754.289629
Georgia,42.16201501,43.48154265,15014.28549
Nepal,28.23944002,84.01317368,3416.792222
Thailand,15.01697499,101.0061335,18463.09666
Sri Lanka,7.700534417,80.66723575,13078.09487
Tajikistan,38.58308146,71.03443505,3379.749745
Turkmenistan,39.09124018,59.27543026,15540.17806
Malaysia,3.725588426,109.6981484,28350.59394
Myanmar,21.01699987,96.50584094,5142.152529
Turkey,39.06837194,35.11690015,28167.38934
Mongolia,46.82368113,102.9464062,12309.77566
Kuwait,29.30726663,47.60009889,49846.13137
China,36.55506653,103.8836123,16116.70483
Kazakhstan,48.19166075,67.28461098,26351.44454
Bangladesh,23.8394618,90.26792828,4753.727573
Lebanon,33.91182721,35.87098632,14717.35494
Laos,18.44497809,103.7502599,7826.390435
South Africa,-28.94703326,25.04801388,12481.81191
Zambia,-13.39506755,27.72759192,3479.493809
Senegal,14.35413999,-14.50980279,3394.867943
Algeria,28.18548128,2.598047792,11349.69883
Kenya,0.595966252,37.79155529,4329.870543
Nigeria,9.548318418,7.995127754,5135.497291
Egypt,26.50662,29.84446151,11763.2551
Rwanda,-2.013514466,29.91896392,2226.220852
Mozambique,-17.23044898,35.47261598,1280.449966
Namibia,-22.09977693,17.15616813,9637.179027
Sierra Leone,8.530353726,-11.79525743,1718.370893
Zimbabwe,-18.90698795,29.78854837,2835.948968
Niger,17.34555281,9.3244271,1219.076966
Ethiopia,8.653999188,39.55125579,2219.708265
Guinea,10.44827288,-11.06085374,2564.042616
Gabon,-0.64704814,11.68775117,14869.79325
Ghana,7.928651813,-1.236968556,5412.627379
Gambia,13.47533436,-15.43187281,2206.912768
Uganda,1.295485504,32.35755032,2181.248259
Mauritania,20.20926721,-10.32639693,5197.029023
Libya,26.99746041,17.97435278,15174.169
Liberia,6.431619862,-9.410836154,1427.819334
Mali,17.26777206,-3.543294339,2327.371532
Benin,9.647430781,2.337377553,3287.31056
Tanzania,-6.257732429,34.75298985,2660.420651
Botswana,-22.09971138,23.77308147,17766.49156
Lesotho,-29.62529049,28.1701053,2767.713919
Tunisia,34.17293904,9.534716121,10755.58288
Morocco,29.8853947,-8.420479545,7514.717583
Malawi,-13.17283499,34.19360533,1059.723275
Cameroon,5.663095288,12.61155155,3652.687438
